GIO Stadium|6
Accor Stadium|9
Campbelltown Sports Stadium|1
Suncorp Stadium|51
AAMI Park|54
Allianz Stadium|34
CommBank Stadium|49
Cbus Super Stadium|22
4 Pines Park|37
Go Media Stadium|52
WIN Stadium|11
Sky Stadium|29
BlueBet Stadium|19
BB Print Stadium|12
TIO Stadium|23
McDonald Jones Stadium|30
Leichhardt Oval|26
Sydney Cricket Ground|33
Industree Group Stadium|48
Barlow Park|2
Eden Park|32
Belmore Sports Ground|17
Yarrow Stadium|14
Jubilee Stadium|16
Queensland Country Bank Stadium|46
HBF Park|42
Glen Willow Oval|47
Carrington Park|27
McLean Park|39
Sharks Stadium|38
Adelaide Oval|40
Forsyth Barr Stadium|41
FMG Stadium Waikato|8
Lavington Sports Ground|3
Marvel Stadium|21
1300SMILES Stadium|46
PointsBet Stadium|38
Stadium Australia|9
Netstrata Jubilee Stadium|16
ANZ Stadium|9
Lottoland|37
Campbelltown Stadium|1
Central Coast Stadium|48
Christchurch Stadium|7
Mt Smart Stadium|52
Penrith Park|19
Panthers Stadium|19
Southern Cross Stadium|38
Bankwest Stadium|49
Patersons Stadium|55
Owen Delany Park|56
